AdopcionProductoNuevo,FactorMarcaImportante,AntesCompraImportante,TiempoInvestigacionCompra,ProbarRestauranteNuevo,ReaccionOfertasTiempoLimitado,InfluenciaOpinionesOtros,ContenidoRedesSociales,MotivacionCompra,CuandoBuenaCompra,PostCompraConducta,FrecuenciaCambioMarca,EleccionVacaciones,ProductoNuevoSupermercado,RelacionTendenciaModa,nombre
B,B,B,B,D,B,A,B,C,B,D,B,B,C,B,Ana
D,D,B,B,C,A,D,D,D,D,B,D,A,D,D,José
B,D,D,D,B,D,D,D,D,C,D,B,D,D,D,Isabel
A,D,A,A,A,B,A,A,B,A,A,A,A,B,C,Pedro
C,C,C,A,A,C,C,C,C,C,D,A,C,C,C,Paula
C,C,D,B,D,B,D,D,D,A,B,B,B,D,B,Elena
C,C,D,C,B,C,B,C,A,C,C,C,C,B,C,Elena
B,A,A,C,A,A,A,D,A,C,C,C,A,A,A,Luis
A,B,D,B,B,D,A,A,B,C,B,B,B,D,D,Isabel
A,B,B,B,B,C,B,C,B,A,D,B,B,D,D,Pedro
D,D,B,B,D,D,B,A,D,D,C,D,A,B,D,María
A,A,A,D,C,B,B,C,A,C,A,D,A,A,A,Elena
A,B,D,B,B,C,D,B,B,A,A,B,B,C,A,Lucía
A,A,A,D,A,A,A,A,B,C,A,A,C,A,A,Pedro
A,A,A,B,A,A,A,A,A,C,A,A,A,A,A,Valeria
B,B,B,B,B,D,D,B,C,D,C,C,A,B,B,Lucía
D,D,D,B,B,D,C,D,B,B,A,D,D,B,D,José
D,C,B,A,B,D,D,B,B,B,A,B,A,D,A,Carlos
A,A,A,C,C,C,D,A,B,A,A,B,B,A,A,Jorge
D,B,C,B,B,D,B,D,B,D,D,B,C,B,B,Elena
D,B,D,B,B,D,C,A,D,C,B,B,B,D,B,Andrés
D,A,C,C,D,D,B,B,A,D,C,C,C,B,D,Pedro
D,D,D,D,B,D,D,B,D,B,A,B,A,C,D,María
D,B,B,D,D,A,D,D,D,B,B,D,D,C,D,Paula
D,B,D,C,B,D,D,B,D,D,C,D,A,D,D,Miguel
A,A,A,D,B,D,A,A,A,A,A,A,A,A,C,Carlos
C,C,C,B,C,C,B,C,C,C,C,C,C,B,C,Lucía
D,B,B,D,B,B,B,B,B,B,B,C,B,D,D,Paula
B,B,D,D,B,B,A,A,B,C,A,D,A,B,D,Sofía
C,C,C,C,C,C,A,C,C,A,D,A,D,A,C,José
C,D,A,A,A,A,A,A,A,B,C,B,A,A,A,Jorge
A,A,A,A,C,A,D,A,A,B,B,B,A,A,A,Valeria
C,C,B,B,B,C,D,C,C,C,C,C,C,C,B,Pedro
A,A,C,A,A,C,A,D,A,A,A,C,A,A,A,Luis
B,B,B,B,D,B,B,D,A,D,B,B,B,B,D,Ana
D,D,D,B,B,B,B,B,B,B,B,B,B,B,D,Isabel
D,D,D,D,D,D,D,D,B,D,B,B,B,A,D,Diego
D,B,B,A,B,A,A,A,A,A,B,A,A,D,C,Lucía
B,D,B,B,D,B,D,D,D,D,B,D,D,D,D,Sofía
C,C,B,A,D,D,B,B,B,D,B,B,B,D,B,Luis
B,C,D,B,C,B,B,C,B,B,A,B,D,B,B,José
A,C,C,A,A,A,A,A,C,D,A,A,C,C,A,Lucía
B,C,C,D,D,D,D,B,D,C,D,D,B,B,D,Carlos
B,B,B,B,B,D,B,B,D,B,B,D,D,B,C,Elena
C,A,C,A,A,A,A,C,A,D,C,A,A,A,A,Carlos
D,D,B,D,D,B,D,D,B,C,A,D,A,D,D,Elena
D,D,D,D,C,D,B,A,D,D,D,A,D,D,D,Diego
C,A,C,C,C,C,C,A,C,A,C,A,C,C,C,Diego
C,B,B,A,C,A,C,A,C,C,C,C,C,A,C,Diego
D,A,D,B,B,D,D,B,B,B,B,B,B,B,B,Andrés
A,C,A,C,C,C,A,D,C,C,C,C,B,C,D,Miguel
A,D,C,D,B,D,D,C,D,C,D,B,D,B,D,Sofía
D,A,A,D,A,A,C,B,A,A,A,A,B,A,C,María
B,C,A,C,A,A,B,B,C,C,A,D,C,C,C,Jorge
D,D,D,D,D,D,A,D,A,C,A,A,D,D,A,Miguel
A,D,A,C,A,A,A,A,C,D,A,C,A,C,A,José
D,D,B,B,B,B,D,B,C,D,B,B,D,A,C,Isabel
B,A,B,B,B,B,D,D,D,D,B,D,D,B,A,Isabel
C,A,A,A,A,A,C,A,A,A,C,A,A,A,B,Ana
C,C,C,C,C,A,D,D,A,C,C,C,D,A,D,Isabel
D,D,D,B,D,D,D,C,D,D,B,D,A,D,C,Isabel
A,A,C,A,C,B,A,A,A,A,A,A,A,D,B,Diego
A,A,A,B,C,A,C,A,B,C,A,B,A,A,C,Lucía
C,C,C,C,C,A,C,C,C,C,C,B,C,A,C,Luis
A,A,A,D,A,A,A,C,A,B,A,A,C,B,B,Paula
B,B,B,A,B,D,D,B,B,A,B,B,D,B,B,Isabel
A,B,A,A,C,A,B,A,C,D,A,A,A,D,A,Miguel
B,A,C,C,C,A,A,C,C,C,C,C,C,C,C,Jorge
C,C,C,C,C,C,C,C,A,C,D,C,C,C,C,María
